cols,mode,mean_adv_vs_quantum_train,median_adv_vs_quantum_train,sign_test_p_vs_quantum_train,cand_train_mean_switch_gain,quantum_train_mean_switch_gain,n_sessions
"('a', 'da', 'deps')",weighted,-0.0689198888958039,-0.11579546503249116,0.953857421875,0.5529830464813774,0.6219029353771813,13
"('h', 'a', 'dh', 'deps')",pca,-0.07009910020887367,-0.08106775630758667,0.953857421875,0.5518038351683077,0.6219029353771813,13
"('a', 'dh', 'da', 'dpsi')",weighted,-0.07078658292449352,-0.11629654507280673,0.8665771484375,0.5511163524526879,0.6219029353771813,13
"('dh', 'dpsi')",weighted,-0.07494364070671439,-0.0666466590792062,0.998291015625,0.546959294670467,0.6219029353771813,13
"('deps', 'dpsi')",weighted,-0.07494364070671439,-0.0666466590792062,0.998291015625,0.546959294670467,0.6219029353771813,13
"('h', 'dh', 'da')",mean,-0.0828295937388215,-0.061167695096545294,0.953857421875,0.5390733416383597,0.6219029353771813,13
"('h', 'da', 'deps')",mean,-0.0828295937388215,-0.061167695096545294,0.953857421875,0.5390733416383597,0.6219029353771813,13
"('a', 'dh', 'da', 'deps')",mean,-0.09096371158367586,-0.1357470158754438,0.8665771484375,0.5309392237935054,0.6219029353771813,13
"('da', 'dpsi')",pca,-0.09549937170723254,-0.09043377755893955,0.98876953125,0.5264035636699488,0.6219029353771813,13
"('da', 'dpsi')",mean,-0.09549937170723254,-0.09043377755893955,0.98876953125,0.5264035636699488,0.6219029353771813,13
"('h', 'dh', 'dpsi')",weighted,-0.09843989340713416,-0.023773217396142243,0.8665771484375,0.5234630419700472,0.6219029353771813,13
"('h', 'deps', 'dpsi')",weighted,-0.09843989340713416,-0.023773217396142243,0.8665771484375,0.5234630419700472,0.6219029353771813,13
"('h', 'da', 'dpsi')",pca,-0.09931136265022718,-0.11271046692183573,0.998291015625,0.5225915727269542,0.6219029353771813,13
"('h', 'da', 'dpsi')",weighted,-0.11861160870784099,-0.12037419618214362,0.98876953125,0.5032913266693403,0.6219029353771813,13
"('h', 'dh', 'dpsi')",mean,-0.1210593439868019,-0.11072973473958525,0.998291015625,0.5008435913903795,0.6219029353771813,13
"('h', 'deps', 'dpsi')",mean,-0.1210593439868019,-0.11072973473958525,0.998291015625,0.5008435913903795,0.6219029353771813,13
"('a', 'dh', 'dpsi')",mean,-0.13526327995392437,-0.1877124553991797,0.953857421875,0.486639655423257,0.6219029353771813,13
"('a', 'deps', 'dpsi')",mean,-0.13526327995392437,-0.1877124553991797,0.953857421875,0.486639655423257,0.6219029353771813,13
"('a', 'da', 'dpsi')",weighted,-0.13935996083792207,-0.16520090644765295,0.98876953125,0.4825429745392593,0.6219029353771813,13
"('h', 'dpsi')",weighted,-0.15304107587251534,-0.18606875656754984,1.0,0.468861859504666,0.6219029353771813,13
"('h', 'a', 'dh', 'dpsi')",weighted,-0.16181008972803534,-0.19186526039214025,0.9998779296875,0.460092845649146,0.6219029353771813,13
"('h', 'a', 'deps', 'dpsi')",weighted,-0.16181008972803534,-0.19186526039214025,0.9998779296875,0.460092845649146,0.6219029353771813,13
"('a', 'dh', 'da', 'dpsi')",mean,-0.16216013934356666,-0.17252510690249756,0.998291015625,0.45974279603361473,0.6219029353771813,13
"('a', 'da', 'deps', 'dpsi')",mean,-0.16216013934356666,-0.17252510690249756,0.998291015625,0.45974279603361473,0.6219029353771813,13
"('a', 'dh', 'da')",mean,-0.17005422767998418,-0.21324304505716218,0.9998779296875,0.4518487076971972,0.6219029353771813,13
"('a', 'da', 'deps')",mean,-0.17005422767998418,-0.21324304505716218,0.9998779296875,0.4518487076971972,0.6219029353771813,13
"('a', 'da')",weighted,-0.17057987290490437,-0.16805281192654786,0.998291015625,0.45132306247227694,0.6219029353771813,13
"('h', 'a', 'dh', 'da')",weighted,-0.17181449379763608,-0.22551801925849635,0.998291015625,0.4500884415795452,0.6219029353771813,13
"('h', 'a', 'da', 'deps')",weighted,-0.1733061657418107,-0.21086276822017236,0.998291015625,0.44859676963537054,0.6219029353771813,13
"('h', 'a', 'dh', 'deps')",mean,-0.18057385945045407,-0.23329726203416856,0.998291015625,0.44132907592672727,0.6219029353771813,13
"('h', 'da', 'dpsi')",mean,-0.1832905916249851,-0.21984190405172133,0.9998779296875,0.4386123437521962,0.6219029353771813,13
"('a', 'dpsi')",weighted,-0.1849948520743322,-0.22983602577959972,0.9998779296875,0.43690808330284914,0.6219029353771813,13
"('h', 'da')",weighted,-0.19914630660628552,-0.24654871153907054,0.998291015625,0.4227566287708958,0.6219029353771813,13
"('h', 'dh')",pca,-0.20033382514028997,-0.23673158629422508,0.998291015625,0.4215691102368914,0.6219029353771813,13
"('h', 'dh')",mean,-0.20033382514028997,-0.23673158629422508,0.998291015625,0.4215691102368914,0.6219029353771813,13
"('h', 'deps')",pca,-0.20033382514028997,-0.23673158629422508,0.998291015625,0.4215691102368914,0.6219029353771813,13
