task,phi_t,dphi_t,E_t,Q_t,E_tm1,Q_tm1,dE_t,dQ_t,E_true,Q_true,E_pred,Q_pred,Q_raw_pred,Q_sign_prob_positive,p_surprise,state_pred,label
13,0.3173481352884276,0.1260620538361303,-7.500163953114042,-0.002449799627623,-7.432594995403991,-0.0006387475927984,-0.06756895771005045,-0.0018110520348245999,-6.263274173202823,-0.0104839581880435,-7.1564143203550925,-0.03639288039705809,-0.03639288039705809,0.3582365452268783,0.7180211211420174,Surprise,P2
17,-0.1794463379722348,-0.4967944732606625,-6.263274173202823,-0.0104839581880435,-7.500163953114042,-0.002449799627623,1.2368897799112188,-0.008034158560420501,-9.126159097172115,-0.0009297448206656,-6.971819127718614,-0.036448098991493184,-0.036448098991493184,0.35963672328249846,0.6212687457978762,Surprise,P2
20,1.7051010681896022,0.6221549092111411,-9.126159097172115,-0.0009297448206656,-6.263274173202823,-0.0104839581880435,-2.8628849239692924,0.009554213367377901,-7.299002609657456,-0.0030484452006956,-7.40207672698245,-0.0367368453953572,-0.0367368453953572,0.35799498049079814,0.972158619257265,Surprise,P2
21,0.1461475817498939,0.7827708534107998,-7.299002609657456,-0.0030484452006956,-9.126159097172115,-0.0009297448206656,1.8271564875146593,-0.00211870038003,-6.046333831007509,-0.0006145133804067,-7.742861260292905,-0.020109139747626542,-0.020109139747626542,0.4805254854969033,0.4524874649300468,CoCreation,P2
27,0.4068888191962467,0.2607412374463528,-6.046333831007509,-0.0006145133804067,-7.299002609657456,-0.0030484452006956,1.252668778649947,0.0024339318202888996,-6.228590369952456,-0.0003882898463586,-6.940033396427244,-0.03647848634128126,-0.03647848634128126,0.3579234277585386,0.7288647272737285,Surprise,P2
6,-0.4141864461545247,-0.3779126911693663,-5.510948677492412,-0.0191325936544906,-8.326810324213348,-0.019277637659563,2.8158616467209354,0.00014504400507240126,-7.890110619017021,-0.0147436009313746,-7.843368794974695,-0.02049420000644632,-0.02049420000644632,0.4616244521567725,0.45971193980271746,CoCreation,P20
10,-0.0160220125303677,-0.1650787271854969,-7.890110619017021,-0.0147436009313746,-5.510948677492412,-0.0191325936544906,-2.3791619415246084,0.004388992723116001,-9.920740662802544,-0.0044073423606525,-7.156870494307489,-0.03603178868886918,-0.03603178868886918,0.35292924952269705,0.6191217420491686,Surprise,P20
13,0.5358399373762841,0.7339474181022833,-9.920740662802544,-0.0044073423606525,-7.890110619017021,-0.0147436009313746,-2.030630043785523,0.010336258570722099,-9.167223709822562,-0.0194946675153009,-7.565831294786408,-0.035870474373033014,-0.035870474373033014,0.35116990355382055,0.6769834050728146,Surprise,P20
15,0.0810897213434887,-0.854626714396777,-9.167223709822562,-0.0194946675153009,-9.920740662802544,-0.0044073423606525,0.7535169529799823,-0.0150873251546484,-6.584179376498634,-0.0040484169293049,-7.491628131623407,-0.03550012570422106,-0.03550012570422106,0.3535815027207087,0.8073823735059039,Surprise,P20
16,0.1526949062364092,0.6196134785395866,-6.584179376498634,-0.0040484169293049,-9.167223709822562,-0.0194946675153009,2.5830443333239277,0.015446250585996,-6.880412087270981,-0.0121536486476402,-7.031913575826014,-0.03604229858499966,-0.03604229858499966,0.3511549395648063,0.5051790369770824,Surprise,P20
